slug,authority,official_url,fee,exam_format,eligibility,frequency,pass_rate,source_checked_at,name,major_category,type,search_query
c-5519,,,,,,,,,アルミニウム溶接技能者(専門級),機械・電気・ものづくり,要確認,アルミニウム溶接技能者(専門級) 受験料 受験資格 公式
c-5516,,,,,,,,,アーク溶接技能者(基本級),機械・電気・ものづくり,要確認,アーク溶接技能者(基本級) 受験料 受験資格 公式
c-5515,,,,,,,,,アーク溶接技能者(専門級),機械・電気・ものづくり,要確認,アーク溶接技能者(専門級) 受験料 受験資格 公式
c-5510,,,,,,,,,ガス圧接技量検定1種,機械・電気・ものづくり,要確認,ガス圧接技量検定1種 受験料 受験資格 公式
c-5511,,,,,,,,,ガス圧接技量検定2種,機械・電気・ものづくり,要確認,ガス圧接技量検定2種 受験料 受験資格 公式
c-5512,,,,,,,,,ガス圧接技量検定3種,機械・電気・ものづくり,要確認,ガス圧接技量検定3種 受験料 受験資格 公式
c-5513,,,,,,,,,ガス圧接技量検定4種,機械・電気・ものづくり,要確認,ガス圧接技量検定4種 受験料 受験資格 公式
c-5514,,,,,,,,,ガス溶接技能者,機械・電気・ものづくり,要確認,ガス溶接技能者 受験料 受験資格 公式
c-5518,,,,,,,,,ステンレス鋼溶接技能者(基本級),機械・電気・ものづくり,要確認,ステンレス鋼溶接技能者(基本級) 受験料 受験資格 公式
c-5517,,,,,,,,,ステンレス鋼溶接技能者(専門級),機械・電気・ものづくり,要確認,ステンレス鋼溶接技能者(専門級) 受験料 受験資格 公式
c-6617,,,,,,,,,トレース技能検定1級,機械・電気・ものづくり,要確認,トレース技能検定1級 受験料 受験資格 公式
c-6618,,,,,,,,,トレース技能検定2級,機械・電気・ものづくり,要確認,トレース技能検定2級 受験料 受験資格 公式
c-6619,,,,,,,,,トレース技能検定3級,機械・電気・ものづくり,要確認,トレース技能検定3級 受験料 受験資格 公式
c-6620,,,,,,,,,トレース技能検定4級,機械・電気・ものづくり,要確認,トレース技能検定4級 受験料 受験資格 公式
c-6120,,,,,,,,,パターンメーキング技術検定,機械・電気・ものづくり,要確認,パターンメーキング技術検定 受験料 受験資格 公式
c-6621,,,,,,,,,レタリング技能検定1級,機械・電気・ものづくり,要確認,レタリング技能検定1級 受験料 受験資格 公式
c-6622,,,,,,,,,レタリング技能検定2級,機械・電気・ものづくり,要確認,レタリング技能検定2級 受験料 受験資格 公式
c-6623,,,,,,,,,レタリング技能検定3級,機械・電気・ものづくり,要確認,レタリング技能検定3級 受験料 受験資格 公式
c-6624,,,,,,,,,レタリング技能検定4級,機械・電気・ものづくり,要確認,レタリング技能検定4級 受験料 受験資格 公式
c-6511,,,,,,,,,伝統工芸士,機械・電気・ものづくり,要確認,伝統工芸士 受験料 受験資格 公式
c-5506,,,,,,,,,溶接作業指導者,機械・電気・ものづくり,要確認,溶接作業指導者 受験料 受験資格 公式
c-5507,,,,,,,,,溶接技能者,機械・電気・ものづくり,要確認,溶接技能者 受験料 受験資格 公式
c-5504,,,,,,,,,溶接管理技術者1級,機械・電気・ものづくり,要確認,溶接管理技術者1級 受験料 受験資格 公式
c-5505,,,,,,,,,溶接管理技術者2級,機械・電気・ものづくり,要確認,溶接管理技術者2級 受験料 受験資格 公式
c-5812,,,,,,,,,自転車安全整備士,機械・電気・ものづくり,要確認,自転車安全整備士 受験料 受験資格 公式
